"","Job.Title","Rating","Company.Name","Location","Headquarters","Size","Founded","Type.of.ownership","Industry","Sector","Revenue","Competitors","City","State","Salary","MinSalary","MaxSalary","AvgSalary","MinRevenue","MaxRevenue","AvgRevenue","MinEmployeeCount","MaxEmployeeCount","AvgEmployeeCount","R","C","SQL","Python","C#","JavaScript","Scala","SAS","MATLAB","C++","Perl","Go","TypeScript","Bash","HTML","CSS","PHP","Rust","Kotlin","Ruby","Assembly","Swift","VBA","Groovy","Julia","APL","Crystal","Visual Basic","Mongo","Java","Airflow","Alteryx","ASP.NET","Atlassian","Excel","Power BI","Tableau","Word","Unix","Vue","jQuery","Seaborn","MicroStrategy","SPSS","Visio","AWS","Hadoop","SSIS","Linux","SAP","PowerPoint","SharePoint","Redshift","Snowflake","Qlik","Cognos","Pandas","Spark","Outlook"
"1","Sr Data Scientist",3.1,"Healthfirst
3.1","New York, NY","New York, NY","1001 to 5000 ","1993","Nonprofit Organization","Insurance Carriers","Insurance",NA,"EmblemHealth, UnitedHealth Group, Aetna","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Data Scientist",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA","5001 to 10000 ","1968","Company - Public","Research & Development","Business Services","1 to 2 billion ",NA,"Chantilly","VA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,5001,10000,7501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Data Scientist",3.8,"Analysis Group
3.8","Boston, MA","Boston, MA","1001 to 5000 ","1981","Private Practice / Firm","Consulting","Business Services","100 to 500 million ",NA,"Boston","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,1001,5000,3001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Data Scientist",3.5,"INFICON
3.5","Newton, MA","Bad Ragaz, Switzerland","501 to 1000 ","2000","Company - Public","Electrical & Electronic Manufacturing","Manufacturing","100 to 500 million ","MKS Instruments, Pfeiffer Vacuum, Agilent Technologies","Newton","MA","137000-171000",137000,171000,154000,100000000,500000000,300000000,501,1000,751,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Data Scientist",2.9,"Affinity Solutions
2.9","New York, NY","New York, NY","51 to 200 ","1998","Company - Private","Advertising & Marketing","Business Services",NA,"Commerce Signals, Cardlytics, Yodlee","New York","NY","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Data Scientist",4.2,"HG Insights
4.2","Santa Barbara, CA","Santa Barbara, CA","51 to 200 ","2010","Company - Private","Computer Hardware & Software","Information Technology",NA,NA,"Santa Barbara","CA","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"7","Data Scientist / Machine Learning Expert",3.9,"Novartis
3.9","Cambridge, MA","Basel, Switzerland","10000 ","1996","Company - Public","Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","10 billion ",NA,"Cambridge","MA","137000-171000",137000,171000,154000,10000000000,500000000,10000000000,10000,500,10000,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"8","Data Scientist",3.5,"iRobot
3.5","Bedford, MA","Bedford, MA","1001 to 5000 ","1990","Company - Public","Consumer Electronics & Appliances Stores","Retail","1 to 2 billion ",NA,"Bedford","MA","137000-171000",137000,171000,154000,1000000000,2000000000,1500000000,1001,5000,3001,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Staff Data Scientist - Analytics",4.4,"Intuit - Data
4.4","San Diego, CA","Mountain View, CA","5001 to 10000 ","1983","Company - Public","Computer Hardware & Software","Information Technology","2 to 5 billion ","Square, PayPal, H&R Block","San Diego","CA","137000-171000",137000,171000,154000,2000000000,5000000000,3500000000,5001,10000,7501,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Data Scientist",3.6,"XSELL Technologies
3.6","Chicago, IL","Chicago, IL","51 to 200 ","2014","Company - Private","Enterprise Software & Network Solutions","Information Technology",NA,NA,"Chicago","IL","137000-171000",137000,171000,154000,100000000,500000000,300000000,51,200,126,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
